fname,selector,time,wer
features_ground,SelectorConstant,47.37828993797302,0.6685393258426966
features_delta,SelectorConstant,49.43554091453552,0.6404494382022472
features_norm,SelectorConstant,50.42654013633728,0.6235955056179775
features_polar,SelectorConstant,51.244412899017334,0.6179775280898876
features_custom,SelectorConstant,59.05690598487854,0.5393258426966292
features_ground,SelectorCV,247.68127298355103,0.5112359550561798
features_delta,SelectorCV,268.52309107780457,0.6123595505617978
features_norm,SelectorCV,276.39544224739075,0.6067415730337079
features_polar,SelectorCV,405.28548312187195,0.5561797752808989
features_custom,SelectorCV,290.3195450305939,0.5056179775280899
features_ground,SelectorBIC,127.46327710151672,0.5112359550561798
features_delta,SelectorBIC,150.99567484855652,0.6179775280898876
features_norm,SelectorBIC,137.626403093338,0.601123595505618
features_polar,SelectorBIC,277.2256920337677,0.5224719101123596
features_custom,SelectorBIC,177.43757319450378,0.5224719101123596
features_ground,SelectorDIC,338.9413661956787,0.5730337078651685
features_delta,SelectorDIC,340.05675506591797,0.6404494382022472
features_norm,SelectorDIC,334.2549829483032,0.5955056179775281
features_polar,SelectorDIC,381.6068150997162,0.5449438202247191
features_custom,SelectorDIC,254.48510813713074,0.5337078651685393
